name,asset,interval,timeframe_min,timeframe_max,fee_fixed,fee_minimum,fee_percent,action_probability,code,n_buys,n_sells,buys_timestamps,sells_timestamps,fees,return,return_hold,timestamp
rsi 25 75,BTCUSDT,1d,1502942428000,1693175098377,,1.0,0.1,"[70, 20, 5, 4, 1]","if rsi > 75:
    action = 'buy'
elif rsi < 25:
    action = 'sell'",15,15,"[1504310399999.0, 1519084799999.0, 1524268799999.0, 1532476799999.0, 1536019199999.0, 1550534399999.0, 1573084799999.0, 1579219199999.0, 1588204799999.0, 1627516799999.0, 1644105599999.0, 1648339199999.0, 1673395199999.0, 1679615999999.0, 1687391999999.0]","[1514678399999.0, 1521244799999.0, 1526601599999.0, 1533686399999.0, 1537228799999.0, 1569369599999.0, 1574121599999.0, 1583711999999.0, 1619395199999.0, 1637625599999.0, 1645487999999.0, 1649721599999.0, 1678147199999.0, 1684540799999.0, 1690502399999.0]","[1000.0, 2834.105213954345, 2831.271108740391, 2068.11129960877, 2066.0431883091615, 1873.9332880285976, 1872.059354740569, 1496.654952845279, 1495.1582978924337, 1285.0629522916104, 1283.7778893393188, 2787.3560344133844, 2784.568678378971, 2438.678389067132, 2436.2397106780645, 2242.141667424351, 2239.899525756927, 12507.131596441195, 12494.624464844754, 17543.536308625582, 17525.99277231696, 15657.699045228268, 15642.04134618304, 13877.802102700914, 13863.924300598212, 17297.851841461892, 17280.553989620432, 16399.87822762948, 16383.478349401852, 15946.314821315078]",14.930368506493762,5.271856694324612,1693175140617
rsi 25 75,BTCUSDT,1d,1502942428000,1693175098377,,1.0,0.1,"[70, 20, 5, 4, 1]","if rsi > 75:
    action = 'buy'
elif rsi < 25:
    action = 'sell'",15,15,"[1504310399999.0, 1519084799999.0, 1524268799999.0, 1532476799999.0, 1536019199999.0, 1550534399999.0, 1573084799999.0, 1579219199999.0, 1588204799999.0, 1627516799999.0, 1644105599999.0, 1648339199999.0, 1673395199999.0, 1679615999999.0, 1687391999999.0]","[1514678399999.0, 1521244799999.0, 1526601599999.0, 1533686399999.0, 1537228799999.0, 1569369599999.0, 1574121599999.0, 1583711999999.0, 1619395199999.0, 1637625599999.0, 1645487999999.0, 1649721599999.0, 1678147199999.0, 1684540799999.0, 1690502399999.0]","[1000.0, 2778.8866158036194, 2776.107729187816, 2045.1512940595671, 2043.1061427655077, 1898.8381615171802, 1896.9393233556632, 1456.808443576656, 1455.3516351330793, 1250.8498073433339, 1249.5989575359904, 2719.541853823683, 2716.8223119698596, 2246.315293470527, 2244.0689781770566, 2033.880880191814, 2031.846999311622, 12486.411758170918, 12473.925346412747, 17917.43189608935, 17899.51446419326, 15991.402836747662, 15975.411433910915, 13300.017871156324, 13286.717853285169, 16894.033448680926, 16877.139415232246, 16507.630037737134, 16491.122407699397, 16051.086592342523]",15.03503550575018,5.271856694324612,1693175140617
rsi 25 75,BTCUSDT,1d,1502942428000,1693175098377,,1.0,0.1,"[70, 20, 5, 4, 1]","if rsi > 75:
    action = 'buy'
elif rsi < 25:
    action = 'sell'",15,15,"[1504310399999.0, 1519084799999.0, 1524268799999.0, 1532476799999.0, 1536019199999.0, 1550534399999.0, 1573084799999.0, 1579219199999.0, 1588204799999.0, 1627516799999.0, 1644105599999.0, 1648339199999.0, 1673395199999.0, 1679615999999.0, 1687391999999.0]","[1514678399999.0, 1521244799999.0, 1526601599999.0, 1533686399999.0, 1537228799999.0, 1569369599999.0, 1574121599999.0, 1583711999999.0, 1619395199999.0, 1637625599999.0, 1645487999999.0, 1649721599999.0, 1678147199999.0, 1684540799999.0, 1690502399999.0]","[1000.0, 2570.3829006124215, 2567.812517711809, 1891.7007572458542, 1889.8090564886086, 1714.0861909426799, 1712.3721047517372, 1406.0961640888909, 1404.690067924802, 1207.307057912616, 1206.0997508547034, 2624.8731503452877, 2622.2482771949426, 2296.520913280742, 2294.224392367462, 2111.4408742301907, 2109.3294333559606, 13448.066025566963, 13434.617959541396, 18864.820574597165, 18845.95575402257, 16440.358391696303, 16423.918033304606, 13850.665198357265, 13836.814533158906, 17593.48020539048, 17575.88672518509, 16680.159803255025, 16663.47964345177, 16218.844786568683]",15.202625941782111,5.271856694324612,1693175140617
rsi 20 80,BTCUSDT,1d,1502942428000,1693184212375,,0.0,0.05,"[70, 20, 5, 4, 1]","if rsi > 75:
    action = 'buy'
elif rsi < 25:
    action = 'sell'",15,15,"[1504310399999.0, 1519084799999.0, 1524268799999.0, 1532476799999.0, 1536019199999.0, 1550534399999.0, 1573084799999.0, 1579219199999.0, 1588204799999.0, 1627516799999.0, 1644105599999.0, 1648339199999.0, 1673395199999.0, 1679615999999.0, 1687391999999.0]","[1514678399999.0, 1521244799999.0, 1526601599999.0, 1533686399999.0, 1537228799999.0, 1569369599999.0, 1574121599999.0, 1583711999999.0, 1619395199999.0, 1637625599999.0, 1645487999999.0, 1649721599999.0, 1678147199999.0, 1684540799999.0, 1690502399999.0]","[500.0, 1417.7618425162, 1417.0529615949417, 1048.9558893609642, 1048.4314114162837, 951.4195355548691, 950.9438257870917, 760.63139390274, 760.2510782057886, 662.9314387162393, 662.5999729968812, 1439.3661270158843, 1438.6464439523763, 1252.330970094133, 1251.7048046090858, 1127.5652798467297, 1127.0014972068066, 6296.090831590505, 6292.94278617471, 8840.259750003714, 8835.839620128712, 8158.700699312031, 8154.621348962375, 7238.49653308786, 7234.877284821316, 9203.735226481422, 9199.13335886818, 8734.683784854838, 8730.316442962412, 8532.616272176789]",16.0566999280814,5.3071027213543305,1693184244258
rsi 20 80,BTCUSDT,1d,1502942428000,1693184212375,,0.0,0.05,"[70, 20, 5, 4, 1]","if rsi > 75:
    action = 'buy'
elif rsi < 25:
    action = 'sell'",15,15,"[1504310399999.0, 1519084799999.0, 1524268799999.0, 1532476799999.0, 1536019199999.0, 1550534399999.0, 1573084799999.0, 1579219199999.0, 1588204799999.0, 1627516799999.0, 1644105599999.0, 1648339199999.0, 1673395199999.0, 1679615999999.0, 1687391999999.0]","[1514678399999.0, 1521244799999.0, 1526601599999.0, 1533686399999.0, 1537228799999.0, 1569369599999.0, 1574121599999.0, 1583711999999.0, 1619395199999.0, 1637625599999.0, 1645487999999.0, 1649721599999.0, 1678147199999.0, 1684540799999.0, 1690502399999.0]","[500.0, 1285.8346892703278, 1285.1917719256928, 901.2230245383016, 900.7724130260325, 817.4234971500549, 817.0147854014799, 627.7637539428323, 627.4498720658607, 551.9171456883879, 551.6411871155437, 1192.232495780195, 1191.6363795323048, 1044.1374178965518, 1043.6153491876037, 948.5764559946343, 948.102167766637, 5296.654335137253, 5294.006007969684, 7555.367321659515, 7551.589637998685, 6295.099835182716, 6291.9522852651235, 5585.087627525595, 5582.295083711832, 7169.263273842228, 7165.6786422053065, 7012.300631789145, 7008.79448147325, 6825.191762979334]",12.643558334195689,5.3071027213543305,1693184244258
rsi 20 80,BTCUSDT,1d,1502942428000,1693184212375,,0.0,0.05,"[70, 20, 5, 4, 1]","if rsi > 75:
    action = 'buy'
elif rsi < 25:
    action = 'sell'",15,15,"[1504310399999.0, 1519084799999.0, 1524268799999.0, 1532476799999.0, 1536019199999.0, 1550534399999.0, 1573084799999.0, 1579219199999.0, 1588204799999.0, 1627516799999.0, 1644105599999.0, 1648339199999.0, 1673395199999.0, 1679615999999.0, 1687391999999.0]","[1514678399999.0, 1521244799999.0, 1526601599999.0, 1533686399999.0, 1537228799999.0, 1569369599999.0, 1574121599999.0, 1583711999999.0, 1619395199999.0, 1637625599999.0, 1645487999999.0, 1649721599999.0, 1678147199999.0, 1684540799999.0, 1690502399999.0]","[500.0, 1285.8346892703278, 1285.1917719256928, 951.3472782290117, 950.8716045898972, 862.8869857963722, 862.4555423034741, 645.1908980612257, 644.8683026121951, 554.5306666913863, 554.2534013580405, 1206.8429839797423, 1206.2395624877524, 1056.9330407946684, 1056.404574274271, 972.7262030488455, 972.2398399473211, 5431.501517585011, 5428.785766826219, 7626.301070351806, 7622.48791981663, 6813.329117592054, 6809.922453033258, 5824.980312812435, 5822.0678226560285, 7477.200039205439, 7473.461439185836, 7096.138288577433, 7092.590219433144, 6906.792383743495]",12.806677975103248,5.3071027213543305,1693184244258
rsi 20 90,BTCUSDT,1d,1502942428000,1693185712512,5,,,"[70, 20, 5, 4, 1]","if rsi > 90:
    action = 'buy'
elif rsi < 20:
    action = 'sell'",4,4,"[1507939199999.0, 1554508799999.0, 1588895999999.0, 1673481599999.0]","[1521331199999.0, 1569369599999.0, 1621468799999.0, 1678406399999.0]","[5, 5, 5, 5, 5, 5, 5, 5]",6.991715499711616,5.313377990485462,1693185746862
rsi 20 90,BTCUSDT,1d,1502942428000,1693185712512,5,,,"[70, 20, 5, 4, 1]","if rsi > 90:
    action = 'buy'
elif rsi < 20:
    action = 'sell'",4,4,"[1507939199999.0, 1554508799999.0, 1588895999999.0, 1673481599999.0]","[1521331199999.0, 1569369599999.0, 1621468799999.0, 1678406399999.0]","[5, 5, 5, 5, 5, 5, 5, 5]",8.696508538088214,5.313377990485462,1693185746862
rsi 20 90,BTCUSDT,1d,1502942428000,1693185712512,5,,,"[70, 20, 5, 4, 1]","if rsi > 90:
    action = 'buy'
elif rsi < 20:
    action = 'sell'",4,4,"[1507939199999.0, 1554508799999.0, 1588895999999.0, 1673481599999.0]","[1521331199999.0, 1569369599999.0, 1621468799999.0, 1678406399999.0]","[5, 5, 5, 5, 5, 5, 5, 5]",9.176421517987276,5.313377990485462,1693185746862
rsi 20 90,BTCUSDT,1d,1502942428000,1693185712512,5,,,"[70, 20, 5, 4, 1]","if rsi > 90:
    action = 'buy'
elif rsi < 20:
    action = 'sell'",4,4,"[1507939199999.0, 1554508799999.0, 1588895999999.0, 1673481599999.0]","[1521331199999.0, 1569369599999.0, 1621468799999.0, 1678406399999.0]","[5, 5, 5, 5, 5, 5, 5, 5]",8.798296789940226,5.313377990485462,1693185746862
rsi 20 90,BTCUSDT,1d,1502942428000,1693185712512,5,,,"[70, 20, 5, 4, 1]","if rsi > 90:
    action = 'buy'
elif rsi < 20:
    action = 'sell'",4,4,"[1507939199999.0, 1554508799999.0, 1588895999999.0, 1673481599999.0]","[1521331199999.0, 1569369599999.0, 1621468799999.0, 1678406399999.0]","[5, 5, 5, 5, 5, 5, 5, 5]",9.417219366135221,5.313377990485462,1693185746862
rsi 20 90,BTCUSDT,1d,1502942428000,1693185712512,5,,,"[70, 20, 5, 4, 1]","if rsi > 90:
    action = 'buy'
elif rsi < 20:
    action = 'sell'",4,4,"[1507939199999.0, 1554508799999.0, 1588895999999.0, 1673481599999.0]","[1521331199999.0, 1569369599999.0, 1621468799999.0, 1678406399999.0]","[5, 5, 5, 5, 5, 5, 5, 5]",8.696508538088214,5.313377990485462,1693185746862
rsi 20 90,BTCUSDT,1d,1502942428000,1693185712512,5,,,"[70, 20, 5, 4, 1]","if rsi > 90:
    action = 'buy'
elif rsi < 20:
    action = 'sell'",4,4,"[1507939199999.0, 1554508799999.0, 1588895999999.0, 1673481599999.0]","[1521331199999.0, 1569369599999.0, 1621468799999.0, 1678406399999.0]","[5, 5, 5, 5, 5, 5, 5, 5]",8.806327489670071,5.313377990485462,1693185746862
rsi 20 90,BTCUSDT,1d,1502942428000,1693185712512,5,,,"[70, 20, 5, 4, 1]","if rsi > 90:
    action = 'buy'
elif rsi < 20:
    action = 'sell'",4,4,"[1507939199999.0, 1554508799999.0, 1588895999999.0, 1673481599999.0]","[1521331199999.0, 1569369599999.0, 1621468799999.0, 1678406399999.0]","[5, 5, 5, 5, 5, 5, 5, 5]",7.390076020369576,5.313377990485462,1693185746862
rsi 20 90,BTCUSDT,1d,1502942428000,1693185712512,5,,,"[70, 20, 5, 4, 1]","if rsi > 90:
    action = 'buy'
elif rsi < 20:
    action = 'sell'",4,4,"[1507939199999.0, 1554508799999.0, 1588895999999.0, 1673481599999.0]","[1521331199999.0, 1569369599999.0, 1621468799999.0, 1678406399999.0]","[5, 5, 5, 5, 5, 5, 5, 5]",8.897589015152652,5.313377990485462,1693185746862
rsi 20 90,BTCUSDT,1d,1502942428000,1693185712512,5,,,"[70, 20, 5, 4, 1]","if rsi > 90:
    action = 'buy'
elif rsi < 20:
    action = 'sell'",4,4,"[1507939199999.0, 1554508799999.0, 1588895999999.0, 1673481599999.0]","[1521331199999.0, 1569369599999.0, 1621468799999.0, 1678406399999.0]","[5, 5, 5, 5, 5, 5, 5, 5]",8.625017899104037,5.313377990485462,1693185746862
